Date,Open,High,Low,Close,Adj Close,Volume
12/22/2020,1.22384,1.2259,1.216604,1.223691,1.223691,0
12/23/2020,1.218591,1.221941,1.215776,1.218665,1.218665,0
12/24/2020,1.219393,1.221747,1.217938,1.219141,1.219141,0
12/25/2020,1.218472,1.2213,1.2167,1.218472,1.218472,0
12/28/2020,1.220703,1.2252,1.218353,1.22051,1.22051,0
12/29/2020,1.222001,1.227599,1.222001,1.222345,1.222345,0
12/30/2020,1.225325,1.230875,1.225205,1.225295,1.225295,0
12/31/2020,1.229906,1.230951,1.2223,1.22999,1.22999,0
1/1/2021,1.217285,1.221699,1.213499,1.218027,1.218027,0
1/4/2021,1.224905,1.230999,1.217137,1.22507,1.22507,0
1/5/2021,1.225295,1.229483,1.224995,1.22516,1.22516,0
1/6/2021,1.229861,1.235025,1.226693,1.230027,1.230027,0
1/7/2021,1.233776,1.234568,1.224665,1.234111,1.234111,0
1/8/2021,1.226873,1.228215,1.221493,1.227144,1.227144,0
1/11/2021,1.218784,1.219959,1.213474,1.218621,1.218621,0
1/12/2021,1.21616,1.217849,1.213887,1.21607,1.21607,0
1/13/2021,1.220927,1.222494,1.215539,1.220889,1.220889,0
1/14/2021,1.216175,1.217285,1.211314,1.216249,1.216249,0
1/15/2021,1.2153,1.216249,1.208474,1.215126,1.215126,0
1/18/2021,1.206724,1.20862,1.205545,1.206811,1.206811,0
1/19/2021,1.207846,1.214491,1.207846,1.207729,1.207729,0
1/20/2021,1.213946,1.216001,1.207773,1.213887,1.213887,0
1/21/2021,1.211534,1.217196,1.210991,1.211563,1.211563,0
1/22/2021,1.216619,1.2188,1.2152,1.216629,1.216629,0
1/25/2021,1.216856,1.2186,1.211725,1.216945,1.216945,0
1/26/2021,1.214329,1.2175,1.210844,1.214624,1.214624,0
1/27/2021,1.216323,1.217137,1.2062,1.216299,1.216299,0
1/28/2021,1.210478,1.2144,1.20824,1.210507,1.210507,0
1/29/2021,1.212136,1.215701,1.209599,1.212004,1.212004,0
2/1/2021,1.212283,1.213607,1.206913,1.212386,1.212386,0
2/2/2021,1.206768,1.208795,1.201836,1.206869,1.206869,0
2/3/2021,1.203905,1.204999,1.200495,1.203905,1.203905,0
2/4/2021,1.204181,1.204384,1.196716,1.204239,1.204239,0
2/5/2021,1.196745,1.203978,1.195357,1.196673,1.196673,0
2/8/2021,1.204935,1.206855,1.20214,1.204877,1.204877,0
2/9/2021,1.205255,1.211475,1.20502,1.20536,1.20536,0
2/10/2021,1.211695,1.214373,1.21102,1.211999,1.211999,0
2/11/2021,1.211945,1.215099,1.211431,1.212121,1.212121,0
2/12/2021,1.213003,1.213592,1.208399,1.213151,1.213151,0
2/15/2021,1.212106,1.214699,1.211739,1.212209,1.212209,0
2/16/2021,1.213239,1.2171,1.209585,1.21322,1.21322,0
2/17/2021,1.208854,1.209834,1.202559,1.209248,1.209248,0
2/18/2021,1.204587,1.2089,1.20363,1.2048,1.2048,0
